Price,Close,High,Low,Open,Volume,Returns
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,
Date,,,,,,
2015-08-14,8518.5498046875,8530.099609375,8381.2001953125,8402.349609375,155900,0.025312836371413527
2015-08-17,8477.2998046875,8530.599609375,8428.0498046875,8530.5,174700,-0.006295085575539083
2015-08-18,8466.5498046875,8525.75,8433.599609375,8505.849609375,153300,-0.0016485202035998682
2015-08-19,8495.150390625,8520.4501953125,8425.9501953125,8468.0498046875,130500,0.00439148916340939
2015-08-20,8372.75,8501.349609375,8359.75,8471.0498046875,184100,-0.018730746425407698
2015-08-21,8299.9501953125,8322.2001953125,8225.0498046875,8305.400390625,201300,-0.011303304899077415
2015-08-24,7809.0,8060.0498046875,7769.39990234375,8055.9501953125,312400,-0.07689627514472329
2015-08-25,7880.7001953125,7925.39990234375,7667.25,7895.39990234375,299100,0.011936259944454996
2015-08-26,7791.85009765625,7930.0498046875,7777.10009765625,7865.25,216600,-0.014656708679493813
2015-08-27,7948.9501953125,7963.60009765625,7862.2998046875,7921.60009765625,305000,0.026210736140131297
2015-08-28,8001.9501953125,8091.7998046875,7961.64990234375,8053.7001953125,195600,0.008667811258979752
2015-08-31,7971.2998046875,8043.60009765625,7947.9501953125,8009.25,198200,-0.0049794746080575325
2015-09-01,7785.85009765625,7929.10009765625,7746.5,7907.9501953125,184900,-0.030244078763523065
2015-09-02,7717.0,7862.5498046875,7699.25,7856.64990234375,215300,-0.011495870820845711
2015-09-03,7823.0,7845.60009765625,7754.0498046875,7774.4501953125,155800,0.01785668005701704
2015-09-04,7655.0498046875,7804.89990234375,7626.85009765625,7803.39990234375,193600,-0.02790940226335804
2015-09-07,7558.7998046875,7705.0498046875,7545.89990234375,7685.85009765625,141400,-0.016345419454146536
2015-09-08,7688.25,7720.89990234375,7539.5,7587.7001953125,172200,0.022263488682672805
2015-09-09,7818.60009765625,7846.0498046875,7764.5498046875,7805.85009765625,208400,0.022040793022225526
2015-09-10,7788.10009765625,7819.85009765625,7678.5,7729.0498046875,160300,-0.005071240312173808
2015-09-11,7789.2998046875,7864.85009765625,7759.89990234375,7833.7998046875,136400,0.00020025668918832729
2015-09-14,7872.25,7879.9501953125,7761.85009765625,7811.10009765625,122800,0.013844024059949112
2015-09-15,7829.10009765625,7880.0,7799.75,7867.35009765625,136500,-0.007125646803248709
